..\bba\OBAR_BIDS.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     E  2D-E       -90          852.Q95.JT.AK953 KJ7.AK2.Q8542.74 AQ64.JT74.K9.JT6 T93.863.A763.Q82 | 1D-P-1N-P-2D
2     E  3D-E       100          764.AQT872.964.A AJ92.KJ64.QJ7.74 QT85.953.AT8.K53 K3..K532.QJT9862 | 1D-P-3D
3     E  2H-E      -110          A54.82.42.AQT976 QJ32.AK653.85.K4 K98.QT7.AT63.J32 T76.J94.KQJ97.85 | 1H-P-2H
4     E  1N-W       -90          AQ85.JT73.4.A864 962.AKQ6.A875.J2 JT4.54.QT96.KQ95 K73.982.KJ32.T73 | 1D-P-1N
5     E  3C-N       110          T4.J8.A93.AQT984 QJ976.AQ7.K865.7 K32.K964.QT2.K63 A85.T532.J74.J52 | 1S-P-P-2C-P-2S=1=-P-3C | Limit raise or better in !C
6     E  2D-E      -110          A952.9865.3.AKT6 KJ7.KQ.KJ852.972 T83.AJT2.Q96.J83 Q64.743.AT74.Q54 | 1D-P-1N-P-2D
7     E  2H-E      -140          T853.8.AK98.A532 A.A9742.QT765.Q8 K74.KQT6.J42.964 QJ962.J53.3.KJT7 | 1H-P-2H
8     E  2H-E      -140          A743..KT532.K952 6.AKQ875.J7.Q764 K982.J432.A8.J83 QJT5.T96.Q964.AT | 1H-P-2H
9     E  3C-E      -130          AKJ72.K95.T74.43 T83.AJ32.K9.A972 Q96.T864.AJ62.J5 54.Q7.Q853.KQT86 | 1C-P-3C
10    E  3H-N       140          Q64.AQJT74.83.43 KT92.K63.KQ95.QT AJ73.82.AJ7.8752 85.95.T642.AKJ96 | 1D-P-1N-2H-P-3H
11    E  3H-E      -140          AJT75..T876.AQ98 K86.AQT752.J9.K2 943.J983.AK52.JT Q2.K64.Q43.76543 | 1H-P-2H-X-P-3D-P-P-3H
12    E  2H-E      -140          AKJ73.K7.963.T95 4.QJ643.KQ7.AJ83 62.A92.J84.Q7642 QT985.T85.AT52.K | 1H-P-2H
13    E  2H-E      -170          J87.J63.AKJT2.T6 AQ96.KQ542.85.K7 KT542.T9.964.A42 3.A87.Q73.QJ9853 | 1H-P-2H
14    E  2H-E      -140          QT73.8.KJT8.A852 K54.AQ953.6.K976 A9.K642.Q942.JT3 J862.JT7.A753.Q4 | 1H-P-2H
15    E  2S-E      -140          T7.AQT953.763.Q5 AJ942.K6.T.A9873 K85.J7.A852.KT42 Q63.842.KQJ94.J6 | 1S-P-2S
