../bba/Opps_Takeout_X_We_XX.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  4H-S                    QT5.T4.AJT83.K83 9872.752.K97.T42 AJ3.KQJ9863.4.Q9 K64.A.Q652.AJ765 | 1H-X-XX-1S-4H
2     S  4S-S                    AJ63.AJ.QT5.JT76 T5.98543.J9642.4 9742.QT762.K.AK5 KQ8.K.A873.Q9832 | 1H-X-XX-2D-2S-P-4S
3     S  5S-N                    KT973..AQT842.KJ J.T98642.7.T9643 652.AKQ753.9.A82 AQ84.J.KJ653.Q75 | 1H-X-XX-2C-2H-P-2S-P-4S-P-4N-P-5H=1=-P-5S | A=2/5 or 5/5, Q(S)=0
4     S  4H-S                    76.AJ83.KT432.A6 T8543.T2.98.9852 AKQJ9.K974.J6.T3 2.Q65.AQ75.KQJ74 | 1S-X-XX-2C-3H-P-4H
5     S  3N-S                    KJ.QJ62.KT9754.3 Q8732.853.Q62.T9 AT654.A4.3.AJ742 9.KT97.AJ8.KQ865 | 1S-X-XX-P-1N-P-2D-P-3N
6     S  4S-S                    43.A9763.J64.KQ5 Q752.2.Q932.J742 AKJT98.J84.K87.9 6.KQT5.AT5.AT863 | 1S-X-XX-2C-2S-P-3S-P-4S
7     S  4H-S                    KJ3.AQ.J32.J9543 9765.8652.87.K82 AQ.KJT974.Q65.76 T842.3.AKT94.AQT | 1H-X-XX-1S-2H-P-4H
8     S  2CX-W                   9543.A.A53.Q9642 T72.97532.J8.AJ8 Q86.KQJT64.KT72. AKJ.8.Q964.KT753 | 1H-X-XX-P-P-2C-X
9     S  4H-S                    J62.A6.K542.KJ93 T974.T5.AT.T8654 AQ.KJ987432.J6.2 K853.Q.Q9873.AQ7 | 1H-X-XX-1S-4H
10    S  1N-S                    J76.Q3.Q74.AJT62 T98.J7652.JT.K93 KQ3.AKT84.853.75 A542.9.AK962.Q84 | 1H-X-XX-P-1N
11    S  4H-S                    AT6532.T6.Q9.KQ8 Q9.8542.643.9643 4.AKQ973.8752.AT KJ87.J.AKJT.J752 | 1H-X-XX-2C-2H-P-4H
12    S  4S-S                    T9.AT97.K84.AT82 432.Q653.92.Q973 AQJ8765.2.QJ6.J5 K.KJ84.AT753.K64 | 1S-X-XX-2H-4S
13    S  4H-S                    K9.965.985.AKT42 J8532.K.J642.865 AQT76.QJT43.K.93 4.A872.AQT73.QJ7 | 1S-X-XX-2D-4H
14    S  3N-S                    T2.KQJ65.K75.Q95 87543.9743.J.T76 AKQJ9.A.T9863.32 6.T82.AQ42.AKJ84 | 1S-X-XX-2H-3N
15    S  5D-S                    T.QJT83.AKJ83.Q4 97643.742..J9875 KQJ852.A.Q654.T3 A.K965.T972.AK62 | 1S-X-XX-2C-2S-P-3H-P-4D-P-4N-P-5D=1= | A=1/5 or 4/5
16    S  3N-S                    AJ.KQ93.Q8542.97 97543.T7.76.K432 QT862.J42.AK.Q65 K.A865.JT93.AJT8 | 1S-X-XX-2C-X-P-2D-P-2N-P-3N
17    S  4S-S                    QT.AJ4.973.QJT54 987.62.862.K9873 AKJ6432.Q983.KJ. 5.KT75.AQT54.A62 | 1S-X-XX-2C-4S
18    S  4S-S                    53.KQ865.AT8.Q92 T964.3.Q954.8653 AKQJ87.JT9.732.J 2.A742.KJ6.AKT74 | 1S-X-XX-2C-2S-3C-4S
19    S  4S-S                    K2.Q8752.Q9.A963 J95.J3.5432.Q875 AQT8643.K96.K8.2 7.AT4.AJT76.KJT4 | 1S-X-XX-2C-4S
20    S  2D-N                    AQ97.84.AQ843.62 K82.9732.J52.874 64.AKQJT6.T9.JT3 JT53.5.K76.AKQ95 | 1H-X-XX-P-P-2C-2D
21    S  3D-S                    AK875.T7.QJ52.82 T94.QJ952.6.T974 J2.AK643.9874.A6 Q63.8.AKT3.KQJ53 | 1H-X-XX-2C-2D-3C-3D
22    S  4S-S                    76.A653.Q973.KJ4 Q83.T84.T65.AT86 AJT9542.K72.K.53 K.QJ9.AJ842.Q972 | 1S-X-XX-2C-4S
23    S  4H-S                    Q84.Q2.AK2.KJ976 97652.986.J743.T K3.AKJT754.86.52 AJT.3.QT95.AQ843 | 1H-X-XX-1S-4H
24    S  4H-S                    Q.A865.JT952.A54 KT965.74.86.9632 J87432.KJT3.AK.8 A.Q92.Q743.KQJT7 | 1S-X-XX-2C-3H-P-4H
25    S  3N-S                    AJ.A543.A9754.T2 65432.JT2.T82.74 KQT98.76.K.AJ853 7.KQ98.QJ63.KQ96 | 1S-X-XX-P-1N-P-2D-P-3C-P-3N
26    S  1N-S                    A7.J953.Q854.KJ3 J8542.T84.972.87 KT963.A62.AK.T65 Q.KQ7.JT63.AQ942 | 1S-X-XX-P-1N
27    S  4H-S                    KJ8652.K2.Q62.KQ 43.76.JT53.T9843 Q9.AQT98543.A4.5 AT7.J.K987.AJ762 | 1H-X-XX-2C-4H
28    S  3C-S                    AJT853.Q6.4.QJT3 K97.J9873.8532.7 2.AKT52.AJ7.9854 Q64.4.KQT96.AK62 | 1H-X-XX-2D-3C
29    S  4S-S                    T7.KQJ82.K752.A6 854.753.JT84.J73 AKJ9632.A4.3.T84 Q.T96.AQ96.KQ952 | 1S-X-XX-2D-4S
30    S  3H-N                    Q6.AK975.J985.76 AJT72.8.T764.843 K9853.QT6.2.AQT5 4.J432.AKQ3.KJ92 | 1S-X-XX-2D-P-P-2H-P-3H
31    S  3S-S                    JT.AKT75.8763.Q5 Q7543.Q62.JT42.8 AK982.J9.5.KJT43 6.843.AKQ9.A9762 | 1S-X-XX-2D-3C-P-3S
32    S  2CX-E                   A6.QJ3.KJT986.J8 T9875.T85.4.Q532 QJ432.A62.Q3.AT9 K.K974.A752.K764 | 1S-X-XX-2C-X
33    S  3S-S                    KQ.AJ532.94.8632 J943.84.KJ862.95 AT7652.K7.753.KQ 8.QT96.AQT.AJT74 | 1S-X-XX-2D-2S-P-3S
34    S  4H-N                    KQ.AJ764.K832.93 T9832.T5.54.QT65 AJ764.Q92.JT9.A2 5.K83.AQ76.KJ874 | 1S-X-XX-2C-P-P-2H-P-3H-P-3S-P-4C-P-4H
35    S  2S-S                    5.A9.J9832.AJT96 AT963.T853.74.82 KJ8742.KQ4.KT5.4 Q.J762.AQ6.KQ753 | 1S-X-XX-2H-2S
36    S  4S-S                    T.A98763.A8.QT64 Q83.J542.9542.98 AKJ97652..J6.AJ7 4.KQT.KQT73.K532 | 1S-X-XX-2H-4S
37    S  1N-S                    J.AJ87.Q852.Q542 Q98765.642.T7.63 AT432.95.J4.AKJ8 K.KQT3.AK963.T97 | 1S-X-XX-P-1N
38    S  4S-S                    Q9.AT7654.A6.KT9 8764.3.J98543.85 AKT532.J9.T.AJ43 J.KQ82.KQ72.Q762 | 1S-X-XX-2D-2S-P-4S
39    S  2H-N                    A8.QJ654.A943.42 QJT63.T87.T85.T8 K9742.92.Q.AQ973 5.AK3.KJ762.KJ65 | 1S-X-XX-P-1N-P-2H
40    S  4H-S                    K2.T8732.QT6.KQ6 JT753.5.K4.JT875 AQ984.KQJ9.532.3 6.A64.AJ987.A942 | 1S-X-XX-2C-2H-P-4H
41    S  2CX-W                   3.75.AQ5432.KJ85 T8752.Q82.K76.94 AKQ964.J943.8.Q7 J.AKT6.JT9.AT632 | 1S-X-XX-P-P-2C-X
