..\bba\Invite_After_3_Bids.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  4S-S       450          KJ93.AJT42.K964. AT2.8763.T5.QT43 Q764.Q.A72.A8752 85.K95.QJ83.KJ96 | 1C-P-1H-P-1S-P-4S
2     S  4S-N       620          KQJ9532.874.9.AQ 874.95.A862.J763 .AKQ6.K7543.9852 AT6.JT32.QJT.KT4 | 1D-P-1S-P-2C-P-4S
3     S  3N-N       430          AJ8.JT4.AQ9863.7 Q97.9872.52.Q863 T642.AQ.KT4.KJT5 K53.K653.J7.A942 | 1C-P-2N-P-3N
4     S  3N-S       630          K8.AQ6.QJ87632.8 JT65.KT3.954.AQ6 AQ92.J97.A.KT753 743.8542.KT.J942 | 1C-P-2D-P-2S-P-3D-P-3N
5     S  3N-N       600          A5.KT632.AJ63.84 T87.A.KT952.T976 K962.Q75.Q8.AQ52 QJ43.J984.74.KJ3 | 1C-P-1H-P-1S-P-2N-P-3N
6     S  3N-S       430          AK952.9.J873.A43 J864.A8.KT9.J982 Q3.KQT65.A5.KQT5 T7.J7432.Q642.76 | 1N-P-2H-P-2S-P-3D-P-3H-P-3N
7     S  3C-S      -200          K75.AT9.QT9632.K 93.8532.K84.QJ65 QJ84.764.AJ.A984 AT62.KQJ.75.T732 | 1C-P-2N-P-3C
8     S  4H-S       420          AKT864.T97.Q9.K7 J73.AQ.KJ72.T942 Q.J8653.A643.AQJ 952.K42.T85.8653 | 1H-P-1S-P-2D-P-4H
9     S  3N-N       430          K.KJ964.A9753.J8 J652.AQ2.82.Q932 Q873.53.KQT.AK65 AT94.T87.J64.T74 | 1C-P-1H-P-1S-P-2N-P-3N
10    S  4S-S       620          K982.KT642.A.Q72 J65.Q97.9875.K85 AT74.J5.KQT3.A94 Q3.A83.J642.JT63 | 1D-P-1H-P-1S-P-4S
11    S  3N-N       400          JT9652.AJ.QT.KJ2 A843.84.J64.Q975 Q.97532.AK98.A83 K7.KQT6.7532.T64 | 1H-P-1S-P-2D-P-2N-P-3N
12    S  4H-S       620          AKT843.432.KQ.92 Q976.A6.T843.Q83 J2.QJ975.A7.AJ75 5.KT8.J9652.KT64 | 1H-P-1S-P-2C-P-4H
13    S  3N-N       600          K.JT962.987.AKJ7 632.K843.KT54.Q3 AQ94.Q.AJ632.854 JT875.A75.Q.T962 | 1D-P-1H-P-1S-P-2N-P-3N
14    S  2N-N       150          A6.AJT65.J6.Q765 872.Q943.KQ82.T4 QT95.K2.AT43.K92 KJ43.87.975.AJ83 | 1D-P-1H-P-1S-P-2N
15    S  3D-S       130          4.KQ983.KJT63.K7 J9732.T754.A.Q83 AKQ.6.Q9742.JT95 T865.AJ2.85.A642 | 1D-P-1H-P-2C-P-3D
16    S  2N-N       150          Q8743.AQ.8642.A5 KJT.82.KT95.QT74 92.K9764.AJ.KJ63 A65.JT53.Q73.982 | 1H-P-1S-P-2C-P-2N
17    S  3C-S       150          743.AJ743.A.QJ62 K98.K52.97632.T9 AQT.8.KQJ85.K874 J652.QT96.T4.A53 | 1D-P-1H-P-2C-P-3C
18    S  4H-N       650          62.KQT943.A8.K85 KT74.872.K92.762 AQ95.65.QJ65.AJ9 J83.AJ.T743.QT43 | 1D-P-1H-P-1S-P-3H-P-4H
19    S  3N-S       430          86.AQT943.Q93.A3 T93.J72.K7542.Q4 AK52.K.JT8.KJ952 QJ74.865.A6.T876 | 1C-P-1H-P-1S-P-3H-P-3N
20    S  4H-N      -100          K.A75432.K42.Q63 QT975.T86.JT7.AT A843.J.AQ93.K972 J62.KQ9.865.J854 | 1D-P-1H-P-1S-P-3H-P-4H
21    S  3N-N       600          85.KQ742.A632.K4 A974.T98.T4.J632 KJ62.J.KJ875.A95 QT3.A653.Q9.QT87 | 1D-P-1H-P-1S-P-2N-P-3N
22    S  3C-S       130          KJ842.3.J9.AK654 AT.QT92.T7654.T8 76.KJ754.AQ.QJ72 Q953.A86.K832.93 | 1H-P-1S-P-2C-P-3C
23    S  2N-N       150          5.AQJT7.AJ64.T86 JT32.986.K95.QJ7 AQ74.4.QT3.A9543 K986.K532.872.K2 | 1C-P-1H-P-1S-P-2N
24    S  2N-N       150          53.AJ874.A2.K532 KQ7.QT65.K96.J86 AT86.K2.QJ85.Q94 J942.93.T743.AT7 | 1D-P-1H-P-1S-P-2N
25    S  3N-N       430          AJ.J9654.KJ65.Q3 543.KQT3.32.8752 KQ76.8.AQT98.AJ9 T982.A72.74.KT64 | 1D-P-1H-P-1S-P-2D-P-3D-P-3N
26    S  3N-N       600          A73.AKJ87.T.8632 KJ62.T54.9765.Q7 QT98.3.AQ843.AJT 54.Q962.KJ2.K954 | 1D-P-1H-P-1S-P-2N-P-3N
27    S  4S-N       450          KQ876.QJ953.8.A8 JT.A72.7652.T762 A953.64.AKT9.J93 42.KT8.QJ43.KQ54 | 1D-P-1S-P-2S-P-4S
28    S  3N-S       600          K32.AKQ643.95.73 T8765.952.32.A84 QJ9.7.AQ876.KJ96 A4.JT8.KJT4.QT52 | 1D-P-1H-P-2C-P-3H-P-3N
29    S  6H-N      1430          A75.AQJT543.J2.5 Q9.K97.K973.T832 KT64.6.AT5.AKQ97 J832.82.Q864.J64 | 1C-P-1H-P-1S-P-4H-P-4N=1=-P-5S-P-6H | Blackwood 0314, for !H
30    S  4H-N       450          J7.AKQ9752.Q8.82 Q9652.T6.43.QT74 K43.8.A7652.AKJ5 AT8.J43.KJT9.963 | 1D-P-1H-P-2C-P-4H
31    S  3N-N       600          3.J943.AQJ87.A82 Q952.KT8.43.QT54 AJ86.Q2.K65.K963 KT74.A765.T92.J7 | 1C-P-1D-P-1S-P-2N-P-3N
32    S  3N-S       430          3.KQT975.A92.QJ6 J642.J6.T85.9874 AQ95.8.KQ764.A32 KT87.A432.J3.KT5 | 1D-P-1H-P-1S-P-3H-P-3N
33    S  4H-N       450          A.QJT7652.Q65.K9 Q632.A98.T32.832 KJT4.K.K97.AQT54 9875.43.AJ84.J76 | 1C-P-1H-P-1S-P-4H
34    S  3N-S       600          KJ8642.AQ.J93.J2 A75.JT6.865.KQT8 .K9543.AK74.A953 QT93.872.QT2.764 | 1H-P-1S-P-2C-P-3S-P-3N
35    S  4S-S       420          AT72.JT974.AJ9.Q KJ63.Q8.K643.532 Q954.AK3.72.KJ64 8.652.QT85.AT987 | 1C-P-1H-P-1S-P-4S
36    S  3N-S       600          92.AKQJ96.Q94.74 765.T53.K83.A653 KT83.2.AT76.KQ82 AQJ4.874.J52.JT9 | 1D-P-1H-P-1S-P-3H-P-3N
37    S  4H-N       650          852.KQ9742.A.K93 KT96.T63.QT2.JT4 AJ.J8.J7543.AQ76 Q743.A5.K986.852 | 1D-P-1H-P-2C-P-3H-P-4H
