..\bba\Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  1N-N        90          A98.Q4.K62.97653 QJ43.KJT3.T85.Q4 752.A765.QJ97.AJ KT6.982.A43.KT82 | P-P-P-1D-P-1N
2     W  3S-S       140          QJ95.A9854.9.A93 A72.72.J7643.Q42 K843.JT.AKT8.865 T6.KQ63.Q52.KJT7 | P-1H-P-1S-P-2S-P-3S
3     W  1N-N       -50          942.T94.QT9.AJT5 QT53.K85.KJ85.Q2 A76.A73.763.K843 KJ8.QJ62.A42.976 | P-P-P-1C-P-1N
4     W  -W                      JT653.Q3.J84.AJ9 AK.T986.972.K654 942.AJ54.A53.QT2 Q87.K72.KQT6.873 | P
5     W  1N-N        90          QJ3.K8.K753.8742 K654.Q92.T86.KT6 982.AJT76.QJ4.A3 AT7.543.A92.QJ95 | P-P-P-1H-P-1N
6     W  1N-N        90          K6.J872.843.AQ54 AT974.Q96.J7.T87 Q532.AT.K962.K63 J8.K543.AQT5.J92 | P-P-P-1D-P-1H-P-1S-P-1N
7     W  2H-S       140          QJ6.KQT.JT843.T9 A974.862.KQ.Q632 K2.AJ973.76.A875 T853.54.A952.KJ4 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H | Reverse drury | Artificial
8     W  1N-N        90          A43.A73.Q854.974 J762.QT5.K9.QJT6 KQ9.K864.A62.532 T85.J92.JT73.AK8 | P-P-P-1C-P-1D-P-1H-P-1N
9     W  3N-N       -50          AJ.QJ863.K32.T64 T742.AT75.54.AJ5 K965.K9.AQ97.983 Q83.42.JT86.KQ72 | P-1H-P-1S-P-1N-P-3N
10    W  -W                      J965.T4.AKQ.J654 AQ.9763.T976.A32 843.AK52.J84.KT7 KT72.QJ8.532.Q98 | P
11    W  3H-S       -50          T6.KQ92.QT865.K4 Q932.A8.KJ93.J83 AJ4.J643.74.AQ96 K875.T75.A2.T752 | P-P-P-1C-P-1D-P-1H-P-3H
12    W  3H-E        50          Q64.7542.AT954.6 KJT5.K963.872.A3 A982.8.K3.KQ9852 73.AQJT.QJ6.JT74 | P-P-1D-2C-X-P-2H-P-3H
13    W  3D-S       110          Q2.AT.5432.K9872 K843.J985.AQ.JT3 T76.K76.KJ986.A4 AJ95.Q432.T7.Q65 | P-P-P-1D-P-3D
14    W  1N-N        90          J62.J.AQT76.J752 K754.K62.94.AT98 QT83.A9754.K2.K3 A9.QT83.J853.Q64 | P-P-P-1H-P-1N
15    W  3S-S       140          A984.AQ83.T6.J62 J7.9752.KJ4.K543 K653.JT6.A872.A9 QT2.K4.Q953.QT87 | P-P-P-1D-P-1H-P-1S-P-3S
16    W  2N-N       120          832.AKJ.QJ7.T953 A96.9532.KT62.Q6 KJ54.87.A94.KJ72 QT7.QT64.853.A84 | P-P-P-1C-P-2N
17    W  1N-N       -50          52.A74.QT82.Q964 QJT.Q862.AJ9.752 K983.K953.54.AJ3 A764.JT.K763.KT8 | P-P-P-1C-P-1D-P-1H-P-1N
18    W  1N-S      -100          K842.T98.J4.AT62 QJ5.J72.KQ95.Q74 T76.A64.A863.K85 A93.KQ53.T72.J93 | P-P-P-1D-P-1S-P-1N
19    W  2N-N       120          75.T8.QT85.AKQT9 AQ92.J43.KJ3.873 JT64.AK765.A64.2 K83.Q92.972.J654 | P-1C-P-1H-P-1N-P-2D=1=-P-2N | New Minor Forcing
20    W  2N-N       120          AQ6.Q82.974.QJT6 9852.K96.JT53.K3 KT7.AT7.KQ8.8742 J43.J543.A62.A95 | P-P-P-1C-P-2N
21    W  3N-N      -100          Q54.T965.AKQ86.T 63.KQ42.T974.KQ3 K872.A73.2.AJ842 AJT9.J8.J53.9765 | P-1D-P-1S-P-1N-P-3N
22    W  1N-N       120          QT4.T3.KT32.KQJ9 A985.Q872.A7.843 J73.AK965.954.A5 K62.J4.QJ86.T762 | P-P-P-1H-P-1N
23    W  1N-N      -100          QJ.9642.A8754.82 AKT4.J73.J92.QT6 9652.AK.KQ.97543 873.QT85.T63.AKJ | P-P-P-1C-P-1D-P-1S-P-1N
24    W  3HX-E      100          AQ8.QT7.J9532.43 9763.9653.KQ.K76 KJ52.K4.64.AJ952 T4.AJ82.AT87.QT8 | P-P-P-1C-P-1D-P-1S-P-1N-P-P-X-P-2H-P-P-2S-3H-P-P-X
25    W  1N-S       120          QJT4.843.Q9.KQ87 A875.Q7.8743.A92 62.KJ92.AKT65.J6 K93.AT65.J2.T543 | P-P-P-1D-P-1S-P-1N
26    W  1N-S        90          AJ74.T52.73.KJ97 K82.Q97.AQ96.543 T96.AK83.KJ82.82 Q53.J64.T54.AQT6 | P-P-P-1D-P-1S-P-1N
27    W  2H-S       110          752.JT9.QT65.AT8 K86.K7.KJ83.J432 T93.AQ542.A72.Q6 AQJ4.863.94.K975 | P-P-P-1H-P-2H
28    W  1N-S        90          AJ753.98.J97.K32 QT.J742.A84.J874 84.KQ3.KT63.AT65 K962.AT65.Q52.Q9 | P-P-P-1D-P-1S-P-1N
29    W  3H-S       140          97.AQ87.QJ632.Q4 Q652.JT4.A4.KJ92 A84.K953.T95.A76 KJT3.62.K87.T853 | P-P-P-1C-P-1D-P-1H-P-3H
30    W  3D-S       110          Q86.AK752.73.Q64 432.T98.KQ6.AJT3 AT9.Q4.AJ9854.82 KJ75.J63.T2.K975 | P-1H-P-1N=1=-P-2C-P-3D | Forcing 1NT
31    W  2S-N       110          AT743.J4.T97.KQ4 J98.AK53.63.T982 K6.QT72.AK42.763 Q52.986.QJ85.AJ5 | P-P-P-1D-P-1S-P-1N-P-2S
32    W  1N-S        90          63.KT96.QJ54.K83 KQJ9.8752.KT3.Q4 542.A3.A876.A752 AT87.QJ4.92.JT96 | P-P-P-1D-P-1H-P-1N
33    W  4S-N       420          KQ82.J654.AT98.5 J4.KQ73.J543.763 A953.T.Q72.AQT84 T76.A982.K6.KJ92 | 1C-X-1H-X-2H-P-P-3C-P-3S-P-4S
34    W  1N-S        90          AJT5.5.KT65.JT82 Q4.984.AQ82.9753 K32.AKT73.743.Q4 9876.QJ62.J9.AK6 | P-P-P-1H-P-1S-P-1N
35    W  2C-N       -50          64.KQJ7.KJT4.J76 KJ52.T982.97.AK8 AT73.65.A86.Q542 Q98.A43.Q532.T93 | P-P-1C-P-1D-P-1H-X=1=-P-2C | Two suit takeout double
36    W  2C-N        90          AT3.J875.T.A8763 962.AT43.KQJ9.52 KJ87.96.A876.KJ4 Q54.KQ2.5432.QT9 | P-P-P-1D-P-1H-P-1S-P-2C
37    W  2S-S       140          97.KJ5.KQ532.864 J62.QT3.AT8.QJ93 AQ8543.A742.6.T7 KT.986.J974.AK52 | P-P-P-2S
38    W  2N-N       -50          K42.K94.KQ52.975 T75.T753.73.AQ42 A986.QJ82.AJ9.86 QJ3.A6.T864.KJT3 | P-P-P-1D-P-2N
39    W  -W                      KQ5.KQ62.T85.J94 A872.JT9.KQ9.632 964.85.AJ74.AQ85 JT3.A743.632.KT7 | P
40    W  3CX-W      500          9764.KT7.KJ6.QJ6 QJT5.64.T84.AK73 A83.A9853.A72.T5 K2.QJ2.Q953.9842 | P-P-P-1H-P-2C=1=-P-2H-P-P-X-P-3C-X | Reverse drury
41    W  1N-N       120          JT3.86.AKT8.QT32 952.K954.J96.AJ7 K864.AQ72.32.K54 AQ7.JT3.Q754.986 | P-P-P-1C-P-1D-P-1H-P-1N
42    W  1N-N       120          AK3.K6432.T75.J3 852.JT7.AQ9.QT72 J964.9.KJ432.AK9 QT7.AQ85.86.8654 | P-1H-P-1S-P-1N
43    W  2D-N       -50          AQ4.JT9.98754.95 J752.32.AKJ.Q842 KT9.A874.T3.AT76 863.KQ65.Q62.KJ3 | P-P-P-1C-P-1D-P-1H-P-1N-X-P-P-2D
44    W  2H-N       140          87.QT64.A983.AT6 KJ53.A85.Q6.9832 A942.KJ97.J52.K5 QT6.32.KT74.QJ74 | P-P-P-1D-P-1H-P-2H
45    W  2C-N       110          875.KQ63.2.KQ752 A6.J952.9643.AT3 KT94.A7.KJ85.J64 QJ32.T84.AQT7.98 | P-P-P-1D-P-1H-P-1S-P-2C
46    W  1N-W       -90          Q5.K82.T964.QJT2 JT74.Q53.AQ.7543 AK96.J64.KJ872.8 832.AT97.53.AK96 | 1C-P-1S-P-1N
47    W  1N-S       120          Q873.JT3.KQ3.K62 K54.Q976.965.J73 T9.A82.AT874.AT8 AJ62.K54.J2.Q954 | P-P-P-1D-P-1S-P-1N
48    W  2C-N        90          Q762.AQT4.2.KT63 T985.K52.A753.94 K43.96.K864.AJ82 AJ.J873.QJT9.Q75 | P-1C-P-1D-P-1H-P-2C
49    W  2S-N       110          A972.T9.53.AT942 KJ3.Q85.T862.QJ6 QT86.A632.AQ7.85 54.KJ74.KJ94.K73 | P-P-P-1D-P-1S-P-2S
50    W  1N-S        90          T9.AKQ5.763.T542 J532.9764.QT8.AJ KQ7.832.A94.K983 A864.JT.KJ52.Q76 | P-P-P-1C-P-1H-P-1N
51    W  1N-S       120          AT8.AQJ9.976.654 K964.T64.KQ42.82 Q53.83.AT5.AJ973 J72.K752.J83.KQT | P-P-P-1C-P-1H-P-1N
52    W  2D-S        90          AKJ5.8.T72.QT842 T83.J93.A98.A973 Q2.AKT65.6543.K6 9764.Q742.KQJ.J5 | P-P-P-1H-P-1S-P-2D
