..\bba\Open_In_Fourth_15.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  2N-S       120          A963.K95.985.AT4 JT85.J732.KJ.865 K74.AT6.QT72.K72 Q2.Q84.A643.QJ93 | P-1C-P-1D-P-1S-P-2N
2     W  1N-N        90          A98.Q4.K62.97653 QJ43.KJT3.T85.Q4 752.A765.QJ97.AJ KT6.982.A43.KT82 | P-P-P-1D-P-1N
3     W  3S-S       140          QJ95.A9854.9.A93 A72.72.J7643.Q42 K843.JT.AKT8.865 T6.KQ63.Q52.KJT7 | P-1H-P-1S-P-2S-P-3S
4     W  1N-N        90          QJ3.K8.K753.8742 K654.Q92.T86.KT6 982.AJT76.QJ4.A3 AT7.543.A92.QJ95 | P-P-P-1H-P-1N
5     W  1N-N        90          A43.A73.Q854.974 J762.QT5.K9.QJT6 KQ9.K864.A62.532 T85.J92.JT73.AK8 | P-P-P-1C-P-1D-P-1H-P-1N
6     W  3H-S       -50          T6.KQ92.QT865.K4 Q932.A8.KJ93.J83 AJ4.J643.74.AQ96 K875.T75.A2.T752 | P-P-P-1C-P-1D-P-1H-P-3H
7     W  1N-S      -100          KJ52.KT842.75.Q6 943.J5.K942.KJ73 AQ8.Q73.AT86.T95 T76.A96.QJ3.A842 | P-P-P-1D-P-1H-P-1N
8     W  1N-N       -50          52.A74.QT82.Q964 QJT.Q862.AJ9.752 K983.K953.54.AJ3 A764.JT.K763.KT8 | P-P-P-1C-P-1D-P-1H-P-1N
9     W  2N-N       120          AQ6.Q82.974.QJT6 9852.K96.JT53.K3 KT7.AT7.KQ8.8742 J43.J543.A62.A95 | P-P-P-1C-P-2N
10    W  1N-N       120          QT4.T3.KT32.KQJ9 A985.Q872.A7.843 J73.AK965.954.A5 K62.J4.QJ86.T762 | P-P-P-1H-P-1N
11    W  2H-S       110          752.JT9.QT65.AT8 K86.K7.KJ83.J432 T93.AQ542.A72.Q6 AQJ4.863.94.K975 | P-P-P-1H-P-2H
12    W  1N-S        90          63.KT96.QJ54.K83 KQJ9.8752.KT3.Q4 542.A3.A876.A752 AT87.QJ4.92.JT96 | P-P-P-1D-P-1H-P-1N
13    W  1N-S        90          AJT5.5.KT65.JT82 Q4.984.AQ82.9753 K32.AKT73.743.Q4 9876.QJ62.J9.AK6 | P-P-P-1H-P-1S-P-1N
14    W  3CX-W      500          9764.KT7.KJ6.QJ6 QJT5.64.T84.AK73 A83.A9853.A72.T5 K2.QJ2.Q953.9842 | P-P-P-1H-P-2C=1=-P-2H-P-P-X-P-3C-X | Reverse drury
15    W  1N-W       -90          J632.K65.Q.QT762 Q97.AJ32.J74.J85 AK8.Q974.96532.K T54.T8.AKT8.A943 | 1D-P-1H-P-1N
16    W  1N-S        90          T9.AKQ5.763.T542 J532.9764.QT8.AJ KQ7.832.A94.K983 A864.JT.KJ52.Q76 | P-P-P-1C-P-1H-P-1N
17    W  2D-S       110          AQ5.863.K85.J863 9872.JT5.AJ3.KQT KT6.AK7.QT942.75 J43.Q942.76.A942 | P-P-P-1D-P-1N-P-2D
18    W  1N-S        90          QT8.AT632.QJ7.63 AK2.Q75.T62.Q542 J76.94.AK85.KJT7 9543.KJ8.943.A98 | P-P-P-1D-P-1H-P-1N
19    W  1N-N       120          62.AQ974.A96.J63 J97.JT.QJ83.Q982 AT85.82.K42.AT54 KQ43.K653.T75.K7 | P-1H-P-1S-P-1N
20    W  3S-N       140          A8532.AJ8.J82.J8 97.K764.973.K952 QT4.932.AT65.AQ7 KJ6.QT5.KQ4.T643 | P-P-P-1D-P-1S-P-1N-P-2S-P-3S
21    W  2S-N       110          KJ83.T63.A8753.J T42.QJ2.Q642.A62 A97.K987.T.KQ853 Q65.A54.KJ9.T974 | P-P-P-1C-P-1D-P-1H-P-1S-P-2C-P-2D-P-2S
22    W  1N-S        90          AJ2.9543.J85.Q98 K754.KQ72.K2.543 QT9.A8.AQT76.T76 863.JT6.943.AKJ2 | P-P-P-1D-P-1H-P-1N
23    W  2D-N        90          T874.AK9.QJ983.J Q92.QT3.T65.AK63 AJ6.J8.A2.Q98752 K53.76542.K74.T4 | P-P-P-1C-P-1D-P-2C-P-2D
