/Users/adavidbailey/Practice-Bidding-Scenarios/BBA/rule16.pbn
board declarer contract score | notes
  1      N        3N     400  | 
  2      N        2N     -200 | Stayman
  3      N        4S     -50  | Stayman
  4      N        4S     420  | Stayman
  5      N        1N     120  | 
  6      N        3N     400  | 
  7      N        1N     120  | 
  8      N        2N     120  | Stayman
  9      N        3N     -50  | 
  10     N        3N     400  | 
  11     N        2N     120  | Stayman
  12     N        2N     120  | Stayman
  13     N        3N     -100 | 
  14     N        1N      90  | 
  15     N        2N     120  | Stayman
  16     N        4S     420  | Stayman
  17     N        1N     120  | 
  18     N        3N     600  | 
  19     N        3H     170  | Stayman
  20     N        2N     120  | Stayman
  21     N        3N     600  | 
  22     N        3N     400  | 
  23     N        2N     120  | Stayman
  24     N        3N     -50  | 
  25     N        2N     150  | Stayman
  26     N        2N     120  | Stayman
  27     N        3S     140  | Stayman
  28     N        3N     600  | 
  29     N        2N     120  | Stayman
  30     N        4H     -50  | Stayman
  31     N        3N     -100 | 
  32     N        3N     400  | 
  33     N        3N     -100 | Stayman
  34     N        1N     120  | 
  35     N        2D     -50  | Stayman
  36     N        1N      90  | 
  37     N        2N     150  | Stayman
  38     N        2N     150  | Stayman
  39     N        3N     -50  | 
  40     N        2N     150  | Stayman
  41     N        2N     120  | Stayman
  42     N        2N     120  | Stayman
  43     N        3N     400  | 
  44     N        2N     150  | Stayman
  45     N        3N     -100 | 
  46     N        4H     420  | Stayman
  47     N        3N     600  | 
  48     N        2N     150  | Stayman
  49     N        3N     400  | 
  50     N        3H     140  | Stayman
  51     N        4H     420  | Stayman
  52     N        2N     150  | Stayman
  53     N        1N     120  | 
  54     N        3N     400  | 
  55     N        4S     -50  | Stayman
  56     N        1N     120  | 
  57     N        2N     120  | Stayman
  58     N        3S     140  | Stayman
  59     N        3N     -50  | Stayman
  60     N        3N     -100 | Stayman
  61     N        2N     120  | Stayman
  62     N        2N     150  | Stayman
  63     N        3N     600  | 
  64     N        3N     -50  | 
  65     N        4S     420  | Stayman
  66     N        4S     -100 | Stayman | strength cue bid
  67     N        2N     150  | Stayman
  68     N        4H     420  | Stayman
  69     N        2N     120  | Stayman
  70     N        4H     420  | Stayman
  71     N        3N     -50  | 
  72     N        3N     -50  | 
  73     N        3N     400  | 
  74     N        2N     120  | Stayman
  75     N        3N     -50  | 
  76     N        2N     120  | Stayman
  77     N        4H     620  | Stayman
  78     N        4H     420  | Stayman
  79     N        3H     -100 | Stayman
  80     N        3N     -100 | Stayman
  81     N        1N     120  | 
  82     N        4H     -100 | Stayman
  83     N        3N     -50  | 
  84     N        2N     120  | Stayman
  85     N        2H     110  | Stayman
  86     N        4S     420  | Stayman
  87     N        1N     120  | 
  88     N        3N     400  | 
  89     N        4H     -50  | Stayman
  90     N        4H     420  | Stayman
  91     N        3N     -50  | 
  92     N        1N      90  | 
  93     N        1N     120  | 
  94     N        3N     -50  | 
  95     N        2N     -100 | Stayman
  96     N        2N     120  | Stayman
  97     N        1N     120  | 
  98     N        2N     120  | Stayman
  99     N        2N     150  | Stayman
 100     E        2H     300  | Cappelletti, both majors
 101     N        3H     140  | Stayman
 102     N        2N     120  | Stayman
 103     N        3N     -50  | Stayman
 104     N        2N     120  | Stayman
 105     N        1N     120  | 
 106     N        3N     -50  | 
 107     N        3N     -50  | Stayman
 108     N        2N     150  | Stayman
 109     N        3N     -100 | 
 110     N        3S     140  | Stayman
 111     N        3N     -100 | Stayman | strength cue bid
 112     N        3N     -50  | 
 113     N        2N     -50  | Stayman
 114     N        4S     -100 | Stayman
 115     N        2N     150  | Stayman
 116     N        2N     120  | Stayman
 117     N        2N     -100 | Stayman
 118     N        2N     120  | Stayman
 119     N        3N     400  | 
 120     N        4H     420  | Stayman
 121     N        3N     400  | 
 122     N        2N     120  | Stayman
 123     N        2N     150  | Stayman
 124     N        3N     600  | 
 125     N        3N     600  | 
 126     N        3N     400  | Stayman
 127     N        3H     140  | Stayman
 128     N        4S     420  | Stayman
 129     N        3N     400  | 
 130     N        2N     150  | Stayman
 131     N        3N     -50  | 
 132     N        1N     120  | 
 133     N        3N     600  | 
 134     N        4H     -50  | Stayman
 135     N        3S     140  | Stayman
 136     N        2N     120  | Stayman
 137     N        4S     -100 | Stayman | strength cue bid
 138     N        3N     400  | 
 139     N        3N     400  | 
 140     N        2N     120  | Stayman
 141     N        3N     -100 | 
 142     N        3N     -50  | 
 143     N        3N     600  | 
 144     N        4H     420  | Stayman
 145     N        4H     420  | Stayman
 146     N        2N     120  | Stayman
 147     N        3N     -50  | 
 148     N        1N     120  | 
 149     N        3N     -100 | 
 150     N        3S     140  | Stayman
 151     N        1N     120  | 
 152     N        3H     -50  | Stayman
 153     N        4S     420  | Stayman
 154     N        1N     120  | 
 155     N        3N     400  | 
 156     N        3N     600  | 
 157     N        3N     -100 | 
 158     N        2N     150  | Stayman
 159     N        2N     120  | Stayman
 160     N        3N     400  | Stayman
 161     N        3N     400  | 
 162     N        4S     620  | Stayman
 163     N        2N     120  | Stayman
 164     N        1N     120  | 
 165     N        3N     -100 | 
 166     N        2N     120  | Cappelletti, any 6+suit | automat
 167     N        2N     -50  | Stayman
 168     N        2N     120  | Stayman
 169     N        2N     120  | Cappelletti, 5M-4m
 170     N        2N     120  | Stayman
 171     N        3N     400  | 
 172     N        1N     -100 | 
 173     N        2N     120  | Stayman
 174     N        3N     -50  | Stayman
 175     N        2N     120  | Stayman
 176     N        3N     -50  | 
 177     N        2N     150  | Stayman
 178     N        2N     120  | Stayman
 179     N        1N     120  | 
 180     N        2N     150  | Stayman
 181     N        2N     120  | Stayman
 182     N        3N     400  | 
 183     N        3N     -50  | 
 184     N        3N     -50  | 
 185     N        2N     120  | Stayman
 186     N        2N     150  | Stayman
 187     N        1N     120  | 
 188     N        2N     150  | Stayman
 189     N        2N     120  | Stayman
 190     N       1NX     280  | Cappelletti, strong
 191     N        2N     120  | Stayman
 192     N        3N     -50  | Stayman
 193     N        3N     400  | 
 194     N        2N     150  | Stayman
 195     N        3N     -100 | 
 196     N        3N     -50  | 
 197     N        4H     620  | Stayman
 198     N        2N     120  | Stayman
 199     N        3N     400  | 
 200     N        3N     -50  | 
 201     N        3N     400  | 
 202     N        3N     -50  | 
 203     N        3N     -50  | Stayman
 204     N        3N     -100 | Stayman
 205     N        2N     120  | Stayman
 206     N        4H     420  | Stayman
 207     N        2H     110  | Stayman
 208     N        3N     -50  | 
 209     N        2N     120  | Stayman
 210     N        2N     120  | Stayman
 211     N        3N     400  | Stayman
 212     N       1NX     280  | Cappelletti, strong
 213     N        3N     -100 | Stayman
 214     N        1N     120  | 
 215     N        4S     -50  | Stayman
 216     N        3N     -50  | 
 217     N        3N     400  | 
 218     W        3D     -110 | Stayman
 219     N        2N     120  | Stayman
 220     S        3S     170  | Stayman
 221     N        4H     620  | Stayman
 222     N        4H     420  | Stayman
 223     N        2N     120  | Stayman
 224     S        4H     420  | Stayman | strength cue bid
 225     N        4S     -50  | Stayman
 226     N        4S     620  | Stayman
 227     N        1N      90  | 
 228     N        3N     -50  | 
 229     N        2H     110  | Stayman
 230     N        1N     120  | 
 231     N        4S     -50  | Stayman
 232     N        3N     400  | 
 233     N        2S     -50  | Stayman
 234     N        3N     -50  | 
 235     N        3N     400  | 
 236     N        3N     600  | 
 237     N        3N     600  | 
 238     N        1N     120  | 
 239     N        2N     120  | Stayman
 240     N        1N     120  | 
 241     N        1N     120  | 
 242     N        3N     600  | 
 243     N        4S     -50  | Stayman
 244     N        1N     120  | 
 245     N        3N     -100 | 
 246     N        2N     -100 | Stayman
 247     N        3N     400  | 
 248     N        2N     120  | Stayman
 249     N        3N     400  | 
 250     N        4S     -50  | Stayman
 251     N        3N     400  | 
 252     W        3H     -140 | Stayman
 253     N        3N     -100 | 
 254     N        2N     120  | Stayman
 255     W       5DX     100  | Stayman
 256     N        3H     170  | Stayman
 257     N        3N     -100 | 
